,sub,model,theta,phi,SSE,AIC,BIC,clust,ClustName
0,152,MP_ppSOE,0.02896246297654846,0.04032479337486386,194.0,75.22148622705178,79.88295290762443,2,IA
1,153,MP_ppSOE,0.03170383992275474,0.036483839224962566,353.0,120.71583846516941,125.37730514574206,2,IA
2,154,MP_ppSOE,0.03032230190982565,0.00043633668452741636,437.0,136.93918896550372,141.60065564607638,3,MO
3,155,MP_ppSOE,0.059885318324504784,-0.00758433300264092,730.0,175.93565073306405,180.5971174136367,1,GA
4,156,MP_ppSOE,0.20590887692558346,-0.08112493699808715,408.0,131.72057139295512,136.38203807352778,1,GA
5,157,MP_ppSOE,0.15510114769734798,0.021633958289832226,286.0,104.71964376054764,109.3811104411203,3,MO
6,158,MP_ppSOE,0.02105822185650404,0.07905106613627269,66.0,-6.721973467752816,-2.060506787180154,2,IA
7,160,MP_ppSOE,0.07951787627737647,0.08436752581409457,100.0,24.85720027333379,29.51866695390645,2,IA
8,161,MP_ppSOE,0.4949124293773915,0.08471370159912071,0.0,-inf,-inf,0,GR
9,162,MP_ppSOE,0.3005038482385735,-0.09333403118810864,607.0,161.91245425876068,166.5739209393334,3,MO
10,163,MP_ppSOE,0.055324766605662816,0.0040005425314226534,176.0,67.82104976113837,72.48251644171104,3,MO
11,164,MP_ppSOE,0.13685918149880202,-0.05681180271108367,1514.0,231.37505912204082,236.03652580261345,1,GA
12,165,MP_ppSOE,0.1974347427990168,-0.08030798895877625,325.0,114.43497999529887,119.09644667587156,1,GA
13,166,MP_ppSOE,0.18700287643417932,0.021019823215567682,239.0,91.07549608503365,95.73696276560631,3,MO
14,167,MP_ppSOE,0.06302287395394654,0.0859593163865224,43.0,-39.28452506905041,-34.62305838847776,2,IA
15,168,MP_ppSOE,0.31326872983425186,-0.09848237862493074,1348.0,222.54894029012996,227.2104069707027,3,MO
16,169,MP_ppSOE,0.32440656182249217,-0.09015602701853892,259.0,97.18319882740371,101.84466550797636,3,MO
17,170,MP_ppSOE,0.31193580806350424,-0.08864235116226564,171.0,65.63069643244097,70.29216311301364,3,MO
18,171,MP_ppSOE,0.021204621904481368,0.014502501793257853,398.0,129.83461853985608,134.49608522042877,2,IA
19,172,MP_ppSOE,0.2743286226687318,-0.07710103012811848,202.0,78.29261114073041,82.95407782130306,3,MO
20,173,MP_ppSOE,0.035569066973368264,0.0966133736258926,40.0,-44.780895349102,-40.11942866852935,2,IA
21,174,MP_ppSOE,0.2708617943214192,-0.09447545202946636,175.0,67.38800015642589,72.04946683699858,3,MO
22,175,MP_ppSOE,0.02325904320335333,-0.08540408166025065,1480.0,229.648866011859,234.31033269243167,1,GA
23,176,MP_ppSOE,0.0565896488834386,-0.0005845225512900671,246.0,93.26946286909842,97.93092954967108,3,MO
24,177,MP_ppSOE,0.010663625250041027,0.013928693057259774,497.0,146.71710812158258,151.3785748021553,2,IA
25,178,MP_ppSOE,0.06571143735403293,-0.039169889708355686,288.0,105.2492626285707,109.9107293091434,1,GA
26,179,MP_ppSOE,0.32219247831721193,-0.07208831030124148,201.0,77.9154391507286,82.57690583130125,3,MO
27,180,MP_ppSOE,0.32354022931038584,-0.09738161974303694,437.0,136.93918896550372,141.60065564607638,3,MO
28,181,MP_ppSOE,0.0074596655040759016,0.017164943420951415,271.0,100.62529652509608,105.28676320566878,2,IA
29,183,MP_ppSOE,0.3160131464065222,-0.0929923774862665,537.0,152.60012132091256,157.26158800148522,3,MO
30,184,MP_ppSOE,0.32356103428288524,-0.08983483053677467,947.0,195.7149972203808,200.37646390095344,3,MO
31,185,MP_ppSOE,0.22433370911607334,-0.09198458328367873,320.0,113.25666181856552,117.9181284991382,1,GA
32,186,MP_ppSOE,0.03087703746132648,0.015352325482678215,1464.0,228.8227709218544,233.48423760242702,2,IA
33,187,MP_ppSOE,0.2449683652062104,-0.0979486961098294,591.0,159.8822834611023,164.54375014167496,1,GA
34,188,MP_ppSOE,0.14313606076091293,-0.06825408206432908,298.0,107.84337111264958,112.50483779322224,1,GA
35,189,MP_ppSOE,0.028241398785119123,0.006699351470615586,518.0,149.86238454995956,154.52385123053222,2,IA
36,190,MP_ppSOE,0.03046516344478873,0.05750337786986444,222.0,85.46774716053207,90.12921384110471,2,IA
37,191,MP_ppSOE,0.2701908444221526,-0.09555034355731826,556.0,155.24265650128308,159.90412318185577,3,MO
38,192,MP_ppSOE,0.25087127963168043,-0.08585195325993436,281.0,103.37922100760349,108.04068768817615,3,MO
39,193,MP_ppSOE,0.2984802568641779,-0.08378948953466886,2139.0,257.6393880285017,262.3008547090743,3,MO
40,194,MP_ppSOE,0.057537827616735336,0.04568319562478018,148.0,54.65239894431159,59.313865624884244,2,IA
41,195,MP_ppSOE,0.0573028644617883,0.03238462027912459,190.0,73.63809562243578,78.29956230300844,2,IA
42,196,MP_ppSOE,0.10365671577199276,0.00424049648414142,166.0,63.375338053336115,68.03680473390878,3,MO
43,197,MP_ppSOE,0.13538417497994198,0.028084897395117103,552.0,154.6939176552981,159.35538433587075,2,IA
44,198,MP_ppSOE,0.061052604127338414,0.02304183403052775,263.0,98.34797258374891,103.0094392643216,2,IA
45,199,MP_ppSOE,0.17472702533050466,-0.07952035586686057,166.0,63.375338053336115,68.03680473390878,1,GA
46,200,MP_ppSOE,0.09035982366408188,-0.023847918714732755,597.0,160.64996675607662,165.31143343664928,1,GA
47,201,MP_ppSOE,0.023123638483273604,-0.002498868604202214,291.0,106.03683444327228,110.69830112384493,3,MO
48,202,MP_ppSOE,0.060046125014408,-0.003734354731946668,158.0,59.62148864828832,64.28295532886098,3,MO
49,203,MP_ppSOE,0.4985957321614772,0.09484689515967756,1.0,-325.1357338617612,-320.47426718118845,0,GR
50,204,MP_ppSOE,0.10828277240074413,0.06329481199876393,290.0,105.77521628475834,110.436682965331,2,IA
51,205,MP_ppSOE,0.11728856670645167,-0.004184679574972447,258.0,96.88919459228175,101.5506612728544,3,MO
52,206,MP_ppSOE,0.08306966049622899,0.0051880949520864,189.0,73.23703928277165,77.89850596334432,3,MO
53,207,MP_ppSOE,0.2668650758416688,-0.09175349083298312,184.0,71.19938371652174,75.8608503970944,3,MO
54,208,MP_ppSOE,0.3116643053703447,-0.09251995466067336,337.0,117.19056884501829,121.85203552559099,3,MO
